                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.69319,                0.74139,                 1.0493,                0.50389,                0.39024,                0.40931,                0.30107,                 1.1384,                 1.5152,                 1.3251,              0.0008516,              0.0008516,              0.0008516
                     60,                0.72652,                0.72739,                 1.0574,                0.56236,                0.43902,                0.42992,                0.32887,                  1.028,                 1.2296,                 1.1718,              0.0008318,              0.0008318,              0.0008318
                     61,                0.70182,                0.74286,                  1.055,                0.66434,                0.38633,                0.42655,                0.31024,                 1.1192,                 1.3679,                 1.2569,               0.000812,               0.000812,               0.000812
                     62,                0.68131,                0.72724,                 1.0366,                0.97018,                0.26829,                 0.4073,                0.31117,                  1.082,                  1.372,                 1.2758,              0.0007922,              0.0007922,              0.0007922
                     63,                0.69379,                0.72068,                  1.035,                0.54389,                0.40734,                0.43029,                0.32334,                 1.1497,                 1.3817,                 1.3174,              0.0007724,              0.0007724,              0.0007724
                     64,                0.69454,                0.72866,                 1.0345,                0.39695,                0.39024,                0.36354,                0.28628,                 1.1259,                 1.5594,                 1.2627,              0.0007526,              0.0007526,              0.0007526
                     65,                0.68392,                0.73121,                 1.0388,                0.64821,                0.31707,                 0.3901,                0.30706,                  1.164,                 1.3437,                 1.3525,              0.0007328,              0.0007328,              0.0007328
                     66,                0.71099,                0.71926,                 1.0351,                0.58284,                0.30697,                0.38402,                0.28643,                 1.1361,                 1.4312,                 1.2964,               0.000713,               0.000713,               0.000713
                     67,                0.66041,                0.71153,                 1.0362,                0.53574,                0.34146,                0.37639,                0.29726,                 1.1384,                 1.7541,                 1.3145,              0.0006932,              0.0006932,              0.0006932
                     68,                0.67738,                0.70726,                 1.0346,                0.46226,                0.39024,                0.40524,                0.32073,                 1.0926,                  1.328,                 1.2864,              0.0006734,              0.0006734,              0.0006734
                     69,                0.70756,                0.72617,                 1.0401,                0.54252,                0.34146,                0.36964,                0.29681,                 1.0576,                 1.4934,                 1.2207,              0.0006536,              0.0006536,              0.0006536
                     70,                0.69514,                0.73079,                 1.0333,                 0.8103,                0.31707,                 0.4154,                0.32249,                  1.052,                 1.4912,                 1.2675,              0.0006338,              0.0006338,              0.0006338
                     71,                0.68919,                0.71384,                 1.0398,                0.54527,                0.36585,                 0.3811,                0.29878,                 1.0436,                 1.5037,                 1.2366,               0.000614,               0.000614,               0.000614
                     72,                0.67469,                0.69645,                 1.0217,                0.53143,                0.43902,                0.41661,                0.32401,                 1.0258,                 1.5695,                 1.2657,              0.0005942,              0.0005942,              0.0005942
                     73,                0.65482,                 0.6872,                 1.0303,                0.65571,                0.39024,                0.44226,                 0.3578,                 1.0298,                 1.5035,                 1.2227,              0.0005744,              0.0005744,              0.0005744
                     74,                0.64364,                 0.6652,                 1.0188,                0.59419,                0.34146,                0.41828,                0.34033,                 1.0374,                 1.3978,                 1.2346,              0.0005546,              0.0005546,              0.0005546
                     75,                0.65974,                0.67452,                 1.0084,                0.61947,                0.35759,                0.39937,                0.28083,                 1.0875,                 1.5309,                 1.2916,              0.0005348,              0.0005348,              0.0005348
                     76,                0.66395,                0.68839,                 1.0304,                0.52406,                0.39024,                0.38949,                0.28166,                 1.1073,                 1.5772,                 1.2885,               0.000515,               0.000515,               0.000515
                     77,                0.63858,                0.66112,                 1.0142,                0.55811,                0.39024,                0.39535,                0.29223,                 1.0892,                 1.5205,                 1.2462,              0.0004952,              0.0004952,              0.0004952
                     78,                0.62832,                0.63619,                 1.0097,                0.65948,                0.31707,                0.38812,                0.28222,                 1.1269,                 1.6068,                 1.3507,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.6225,                0.63508,                 1.0224,                0.65875,                0.41463,                0.43843,                0.33858,                 1.0134,                 1.4483,                 1.2759,              0.0004556,              0.0004556,              0.0004556
                     80,                0.65281,                0.66129,                 1.0242,                0.64929,                0.40662,                0.43355,                0.34825,                 1.0262,                 1.3804,                 1.2698,              0.0004358,              0.0004358,              0.0004358
                     81,                0.63993,                0.66507,                 1.0131,                0.55048,                0.43902,                0.43363,                0.32397,                 1.0418,                 1.4848,                 1.2657,               0.000416,               0.000416,               0.000416
                     82,                0.64939,                 0.6641,                 1.0229,                0.78922,                0.36532,                0.43553,                0.34396,                 1.0693,                 1.4619,                 1.2737,              0.0003962,              0.0003962,              0.0003962
