                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      9,                 1.5835,                 1.8112,                 1.4664,                0.01316,                0.02439,                0.00511,                0.00051,                 3.0664,                 6.4539,                 2.9145,              0.0019689,              0.0019689,              0.0019689
                     10,                 1.5913,                 1.7961,                 1.4916,                 0.1081,                0.07317,                0.04657,                 0.0347,                 2.6371,                 5.6608,                  2.437,              0.0019607,              0.0019607,              0.0019607
                     11,                 1.5344,                 1.7354,                 1.4751,                0.18965,                0.12195,                0.07907,                0.04999,                 2.2351,                 3.8352,                 2.4328,              0.0019515,              0.0019515,              0.0019515
                     12,                 1.4947,                 1.6408,                 1.4662,                0.17922,                0.12195,                0.10875,                0.08941,                 2.4009,                 3.7547,                    2.4,              0.0019415,              0.0019415,              0.0019415
                     13,                 1.5058,                  1.653,                 1.4336,                0.17178,                0.12195,                0.12593,                0.06678,                 2.4394,                 4.0116,                  2.351,              0.0019305,              0.0019305,              0.0019305
                     14,                 1.5451,                  1.707,                 1.4382,                0.25055,                0.07317,                0.15739,                0.08505,                 2.7878,                 3.6211,                 2.5746,              0.0019186,              0.0019186,              0.0019186
                     15,                 1.5377,                 1.7063,                 1.4594,                0.79746,                0.04878,                0.10492,                0.08013,                 2.2563,                   3.43,                  2.212,              0.0019058,              0.0019058,              0.0019058
                     16,                 1.5082,                 1.6489,                 1.4646,                0.17391,                0.09756,                0.13261,                0.09317,                 2.3462,                 3.4697,                 2.3958,              0.0018921,              0.0018921,              0.0018921
                     17,                 1.4665,                 1.5888,                 1.4058,                0.46932,                0.12195,                0.20244,                0.17969,                 2.1003,                 3.0799,                 2.3271,              0.0018775,              0.0018775,              0.0018775
                     18,                 1.4413,                 1.5701,                 1.3987,                0.24709,                0.07317,                0.07271,                 0.0413,                 2.5389,                  4.472,                 2.6153,              0.0018621,              0.0018621,              0.0018621
                     19,                 1.4376,                 1.5536,                 1.3923,                 0.6329,                0.12195,                0.15671,                0.10301,                 2.2564,                 3.7334,                 2.1934,              0.0018459,              0.0018459,              0.0018459
                     20,                 1.4117,                 1.5181,                 1.3778,                0.28686,                0.09756,                0.07337,                0.04574,                 2.2758,                 4.5271,                 2.2826,              0.0018288,              0.0018288,              0.0018288
